scientificName,taxonConceptID,dataResourceUid,stateProvince,country,zones
Homalocalyx inerrabundus,https://id.biodiversity.org.au/node/apni/2895157,dr15863,Western Australia,Australia,
Hopkinsia adscendens,https://id.biodiversity.org.au/node/apni/2907203,dr15861,Western Australia,Australia,
Hopkinsia adscendens,https://id.biodiversity.org.au/node/apni/2907203,dr15863,Western Australia,Australia,
Hopkinsia adscendens,https://id.biodiversity.org.au/node/apni/2907203,dr15865,Western Australia,Australia,
Hopkinsia adscendens,https://id.biodiversity.org.au/node/apni/2907203,dr376,Western Australia,Australia,
Hopkinsia adscendens,https://id.biodiversity.org.au/node/apni/2907203,dr8212,Western Australia,Australia,
Hopkinsia anoectocolea,https://id.biodiversity.org.au/node/apni/2899182,dr15860,Western Australia,Australia,
Hopkinsia anoectocolea,https://id.biodiversity.org.au/node/apni/2899182,dr15861,Western Australia,Australia,
Hopkinsia anoectocolea,https://id.biodiversity.org.au/node/apni/2899182,dr15863,Western Australia,Australia,
Hopkinsia anoectocolea,https://id.biodiversity.org.au/node/apni/2899182,dr376,Western Australia,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr14021,New South Wales,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr15273,New South Wales,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr1902,New South Wales,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr340,New South Wales,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr341,New South Wales,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr342,New South Wales,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr344,New South Wales,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr346,New South Wales,Australia,
Hoplocephalus bungaroides,urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794,dr364,New South Wales,Australia,
Hoplocephalus stephensii,urn:lsid:biodiversity.org.au:afd.taxon:807cfb97-9586-453a-911d-d7eee093cf17,dr1902,Queensland,Australia,
Hoplocephalus stephensii,urn:lsid:biodiversity.org.au:afd.taxon:807cfb97-9586-453a-911d-d7eee093cf17,dr344,Queensland,Australia,
Hoplocephalus stephensii,urn:lsid:biodiversity.org.au:afd.taxon:807cfb97-9586-453a-911d-d7eee093cf17,dr346,Queensland,Australia,
Hoplocephalus stephensii,urn:lsid:biodiversity.org.au:afd.taxon:807cfb97-9586-453a-911d-d7eee093cf17,dr364,Queensland,Australia,
Hoplocephalus stephensii,urn:lsid:biodiversity.org.au:afd.taxon:807cfb97-9586-453a-911d-d7eee093cf17,dr8129,Queensland,Australia,
Hullsia argillicola,https://id.biodiversity.org.au/node/apni/2914717,dr15863,Western Australia,Australia,
Hullsia argillicola,https://id.biodiversity.org.au/node/apni/2914717,dr15866,Western Australia,Australia,
Huperzia,https://id.biodiversity.org.au/node/apni/2915577,dr15860,Queensland,Australia,
Huperzia,https://id.biodiversity.org.au/node/apni/2915577,dr15861,Queensland,Australia,
Huperzia,https://id.biodiversity.org.au/node/apni/2915577,dr2287,Queensland,Australia,
Huperzia,https://id.biodiversity.org.au/node/apni/2915577,dr376,Queensland,Australia,
Hyalosperma stoveae,https://id.biodiversity.org.au/node/apni/2890578,dr15863,Western Australia,Australia,
Hybanthus bennettiae,https://id.biodiversity.org.au/taxon/apni/51294593,dr15866,Western Australia,Australia,
Hybanthus cymulosus,https://id.biodiversity.org.au/node/apni/2911405,dr15863,Western Australia,Australia,
Hybanthus floribundus subsp. chloroxanthus,https://id.biodiversity.org.au/node/apni/2911978,dr15863,Western Australia,Australia,
Hybanthus volubilis,https://id.biodiversity.org.au/node/apni/2902082,dr15863,Western Australia,Australia,
Hydnophytum,https://id.biodiversity.org.au/node/apni/2917100,dr15860,Queensland,Australia,
Hydnophytum,https://id.biodiversity.org.au/node/apni/2917100,dr15861,Queensland,Australia,
Hydnophytum ferrugineum,https://id.biodiversity.org.au/node/apni/2898233,dr376,Queensland,Australia,
Hydnophytum moseleyanum,https://id.biodiversity.org.au/node/apni/2887261,dr15860,Queensland,Australia,
Hydnophytum moseleyanum,https://id.biodiversity.org.au/node/apni/2887261,dr15861,Queensland,Australia,
Hydnophytum moseleyanum,https://id.biodiversity.org.au/node/apni/2887261,dr15863,Queensland,Australia,
Hydnophytum moseleyanum,https://id.biodiversity.org.au/node/apni/2887261,dr15867,Queensland,Australia,
